ISBN-10,Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,Published Date,Publisher,No. of Pages,Product URL
9.78E+12,Claiming the Dragon King,Amelia Hutchins,ePUB,$6.99,$6.99,10-07-2018,Amelia Hutchins,,https://www.booktopia.com.au/claiming-the-dragon-king-amelia-hutchins/ebook/9780997720105.html
9.78E+12,The Boy with the Topknot,Sathnam Sanghera,ePUB,$15.99,$15.99,29-11-2012,Penguin Books Ltd,336,https://www.booktopia.com.au/the-boy-with-the-topknot-sathnam-sanghera/ebook/9780670923090.html
9.78E+12,The Art of War,Sun Tzu; Tom Butler-Bowdon,ePUB,$16.99,$16.99,16-05-2016,Wiley,220,https://www.booktopia.com.au/the-art-of-war-sun-tzu/ebook/9780857081025.html
9.78E+12,Lean In,Sheryl Sandberg,ePUB,$18.99,$18.99,12-03-2013,Ebury Publishing,240,https://www.booktopia.com.au/lean-in-sheryl-sandberg/ebook/9780753549063.html
9.78E+12,The Lost Hero (Heroes of Olympus Book 1),Rick Riordan,ePUB,$9.99,$9.99,12-10-2010,Penguin Random House Children's UK,576,https://www.booktopia.com.au/the-lost-hero-heroes-of-olympus-book-1--rick-riordan/ebook/9780141965550.html
9.78E+12,The Other Side of the Story,Marian Keyes,ePUB,$15.99,$15.99,10-03-2005,Penguin Books Ltd,656,https://www.booktopia.com.au/the-other-side-of-the-story-marian-keyes/ebook/9780141909653.html
9.78E+12,Another Woman,Penny Vincenzi,ePUB,$12.99,$12.99,04-09-2008,Headline,640,https://www.booktopia.com.au/another-woman-penny-vincenzi/ebook/9780755351473.html
9.78E+12,Titmuss Regained,John Mortimer,ePUB,$15.99,$15.99,04-11-2010,Penguin Books Ltd,272,https://www.booktopia.com.au/titmuss-regained-john-mortimer/ebook/9780141959856.html
9.78E+12,Thin,Grace Bowman,ePUB,$18.99,$18.99,25-01-2007,Penguin Books Ltd,304,https://www.booktopia.com.au/thin-grace-bowman/ebook/9780141905570.html
9.78E+12,Shadow of Night,Deborah Harkness,ePUB,$13.99,$13.99,10-07-2012,Headline,605,https://www.booktopia.com.au/shadow-of-night-deborah-harkness/ebook/9780755384761.html
9.78E+12,Lover Mine,J. R. Ward,ePUB,$11.99,$11.99,06-05-2010,"Little, Brown Book Group",544,https://www.booktopia.com.au/lover-mine-j-r-ward/ebook/9780748117468.html
9.78E+12,Going Dutch,Katie Fforde,ePUB,$15.99,$15.99,07-12-2010,Random House,432,https://www.booktopia.com.au/going-dutch-katie-fforde/ebook/9781407011349.html
9.78E+12,1st to Die,James Patterson,ePUB,$12.99,$12.99,23-06-2011,Headline,375,https://www.booktopia.com.au/1st-to-die-james-patterson/ebook/9780755387052.html
9.78E+12,Night Frost,R D Wingfield,ePUB,$15.99,$15.99,27-04-2010,Transworld,432,https://www.booktopia.com.au/night-frost-r-d-wingfield/ebook/9781407068060.html
9.78E+12,Notes to Self,Emilie Pine,ePUB,$15.99,$15.99,31-01-2019,Penguin Books Ltd,192,https://www.booktopia.com.au/notes-to-self-emilie-pine/ebook/9780241986233.html
9.78E+12,The French Slow Cooker,Michele Scicolone; Alan Richardson,ePUB,$39.59,$31.99,16-04-2024,HarperCollins,240,https://www.booktopia.com.au/the-french-slow-cooker-michele-scicolone/ebook/9780547607955.html
9.78E+12,Dear Evan Hansen,Val Emmich; Justin Paul; Steven Levenson; Benj Pasek,ePUB,$12.99,$12.99,09-10-2018,Penguin Random House Children's UK,368,https://www.booktopia.com.au/dear-evan-hansen-val-emmich/ebook/9780241361863.html
9.78E+12,Hope,Lesley Pearse,ePUB,$15.99,$15.99,11-01-2007,Penguin Books Ltd,688,https://www.booktopia.com.au/hope-lesley-pearse/ebook/9780141900940.html
